thumb_cmc_spread,thumb_cmc_stretch,thumb_mcp_stretch,thumb_ip_stretch,index_mcp_spread,index_mcp_stretch,index_pip_stretch,index_dip_stretch,middle_mcp_spread,middle_mcp_stretch,middle_pip_stretch,middle_dip_stretch,ring_mcp_spread,ring_mcp_stretch,ring_pip_stretch,ring_dip_stretch,pinky_mcp_spread,pinky_mcp_stretch,pinky_pip_stretch,pinky_dip_stretch
43.79,30.76,26.76,2.11,7.56,44.68,4.18,3.13,8.8,23.18,3.42,2.56,3.61,18.87,5.52,4.14,-6.93,46.13,1.13,0.85
44.15,31.26,26.67,2.11,7.57,44.65,4.08,3.06,8.73,23.52,3.36,2.52,3.55,19.1,5.41,4.06,-6.93,46.35,1.11,0.83
44.28,30.81,26.48,2.01,7.08,45.59,4.03,3.02,8.55,24.29,3.33,2.5,3.42,19.66,5.34,4.01,-6.95,46.65,1.1,0.82
45.3,30.83,26.39,2.01,6.02,47.96,10.39,7.79,8.03,26.64,3.23,2.42,3.1,21.04,5.26,3.95,-6.87,46.98,1.1,0.82
45.35,31.07,26.39,2.01,5.87,48.23,9.76,7.32,7.84,27.49,3.2,2.4,2.92,21.83,5.21,3.91,-6.9,47.5,1.08,0.81
45.74,31.36,26.11,2.01,5.43,49.45,9.75,7.31,7.18,28.79,3.2,2.4,2.65,23.02,5.2,3.9,-6.95,48.12,1.08,0.81
46.41,32.02,25.88,1.99,5.02,50.37,9.72,7.29,6.53,29.83,3.17,2.38,2.09,24.11,5.13,3.85,-6.71,48.39,1.09,0.82
46.92,32.91,25.7,1.97,4.86,50.68,9.69,7.27,6.27,30.28,3.13,2.35,1.66,24.74,5,3.75,-6.43,48.31,1.1,0.82
47.16,33.72,25.66,1.97,4.68,51.04,9.64,7.23,5.98,30.81,2.99,2.24,1.35,25.46,5.12,3.84,-6.35,48.69,1.1,0.82
47.44,35.3,25.66,2.3,4.53,51.42,9.57,7.18,5.72,31.31,2.98,2.23,1.09,26.14,5.1,3.83,-6.41,49.3,1.13,0.85
47.69,35.89,25.66,2.3,4.55,51.34,9.54,7.15,5.5,31.86,2.9,2.18,0.3,27.26,4.81,3.61,-6.89,50.3,1.07,0.8
47.91,36.32,25.29,2.01,4.76,50.83,9.49,7.12,5.46,32.22,2.8,2.1,-0.2,27.88,4.5,3.38,-7.99,51.98,1.03,0.77
48.43,35.64,25.19,1.92,4.57,51.46,9.49,7.12,5.4,32.62,2.84,2.13,-0.03,27.86,4.44,3.33,-8.04,51.9,0.98,0.73
48.23,35.4,25.38,1.92,4.58,51.54,9.46,7.1,5.55,32.26,2.87,2.15,0.07,27.74,4.36,3.27,-7.59,51.39,0.95,0.71
48.61,35.82,25.66,1.92,4.44,51.98,9.43,7.07,5.42,32.46,2.85,2.14,-0.11,28.04,4.29,3.22,-7.49,51.37,0.9,0.67
48.4,35.44,25.75,1.82,4.37,52.25,9.31,6.98,5.39,32.53,2.84,2.13,-0.08,28.01,4.26,3.2,-7.39,51.18,0.9,0.67
48.31,35.35,25.66,1.65,4.32,52.4,9.06,6.8,5.27,32.67,2.82,2.11,-0.02,27.96,4.23,3.17,-7.29,51.07,0.86,0.65
48.35,35.31,25.57,1.73,4.27,52.51,9,6.75,5.16,32.86,2.81,2.1,-0.09,28.11,4.2,3.15,-7.22,50.99,0.86,0.65
48.33,35.09,25.47,1.39,4.29,52.51,8.98,6.74,5.09,33.03,2.79,2.09,-0.17,28.32,4.15,3.11,-7.19,51.11,0.86,0.65
48.5,34.99,25.29,1.29,4.32,52.56,9.1,6.83,5.17,33.4,2.75,2.07,-0.15,28.21,4.13,3.1,-7.1,50.71,0.84,0.63
48.73,35.06,25.1,1.2,4.41,52.5,9.09,6.82,5.35,33.2,2.73,2.05,0.04,27.89,4.08,3.06,-7.14,50.54,0.84,0.63
48.49,35.13,25.1,1.1,4.54,52.2,9.04,6.78,5.52,33.03,2.7,2.03,0.21,27.67,4.07,3.05,-7.2,50.56,0.83,0.62
48.42,34.96,24.92,1.1,4.6,52.17,8.97,6.73,5.59,33.09,2.67,2,0.38,27.43,4.04,3.03,-7.3,50.44,0.86,0.65
49.76,36.28,25.03,1.1,4.74,51.51,8.08,6.06,5.56,32.94,2.41,1.81,0.55,27.16,3.91,2.93,-7.07,49.57,0.9,0.67
51.27,50.84,9.68,1.15,7.36,44.16,3.78,2.84,7.6,28.57,2.24,1.68,3.09,21,3.77,2.83,-4.65,40.64,0.78,0.59
49.37,58.36,28.56,70.7,10.56,41.35,97.24,72.93,4.1,39.07,93.52,70.14,-1.8,34.54,97.15,72.86,-3.96,36.85,93.64,70.23
49.32,60.47,21.61,31.25,8.15,44.14,50.77,38.08,5,32.43,44.98,33.74,-2.11,32.24,53.41,40.06,-4.13,40.39,26.05,19.54
49.81,65.78,5.35,6.05,9.69,39.92,13.79,10.34,7.99,25.1,6.74,5.05,3.3,19.25,12.34,9.25,-2.92,30.3,3.93,2.94
44.45,61.31,48.56,90,13.85,27.95,6.31,4.73,11.55,10.73,3.62,2.72,5.88,9.5,5.76,4.32,-1.91,22.11,2.16,1.62
43.83,61.54,4.3,6.72,14.34,25.77,2.74,2.06,11.09,12.82,3.36,2.52,-3.57,35.74,9.83,7.37,-17.25,80.49,1.88,1.41
32.08,61.33,0.44,0.94,0.05,85.42,14.03,10.53,-3.03,54.82,15.46,11.6,-6.49,40.08,8.38,6.28,-7.32,43.09,0.42,0.32
29.78,61.12,0.08,0.61,0,88.68,12.55,9.41,-2.85,53.66,11.58,8.69,-5.95,36.12,8.35,6.26,-6.9,38.79,0.42,0.32
23.68,26.63,7.81,0,1.48,67.46,1.23,0.92,1.22,33.72,1.18,0.88,-0.31,18.44,4.68,3.51,-7.05,2.03,1.05,0.78
29.31,42.14,42.44,0.14,10.06,37.31,5.75,4.31,7.08,22.11,1.46,1.09,3.66,14.6,4.28,3.21,-5.31,5.04,1.01,0.76
33.63,44.68,50.24,5.03,14.3,26.05,1.68,1.26,10.23,16.62,0.98,0.74,1.43,17.15,1.92,1.44,-3.71,38.3,0.58,0.44
38.04,45.41,40.21,3.99,14.67,24.37,1.46,1.09,10.21,16.72,0.77,0.58,0.1,17.35,2.44,1.83,-7,48.95,0.42,0.32
41.95,46.03,27.21,2.33,14.81,23.73,1.29,0.97,10.31,16.3,0.69,0.52,0.09,16.74,2.42,1.81,-9.17,51.25,0.42,0.32
43.28,54.34,23.83,1.72,14.74,24.02,1,0.75,10.94,13.45,0.65,0.49,0.15,15.33,2.18,1.63,-8.84,49.93,0.54,0.4
38.58,65.15,9.07,0.73,12.98,31.87,2.25,1.69,11.45,11.15,4.79,3.59,0.3,13.16,3.64,2.73,-7.08,45.01,0.4,0.3
34.18,66.16,7,0.6,11.64,35.23,4.31,3.23,10.98,13.3,8.24,6.18,0.32,13.4,5.36,4.02,-6.14,43.32,0.35,0.26
31.17,67.88,2.87,0.17,5.9,50.68,13.43,10.08,5,32.83,16.09,12.07,0,20.35,16.56,12.42,-5.07,34.96,0.14,0.1
32.37,69.53,1.72,0.09,4.42,55.63,36.01,27.01,3.23,37.4,37.17,27.87,-0.83,24.28,39.53,29.65,-5.19,35.36,0.15,0.12
34.37,71.22,0.87,0,5.42,53.17,56.3,42.23,3.23,37.24,64.13,48.1,-0.35,22.73,64.16,48.12,-5.08,36.06,0.26,0.19
36.66,72.91,0.73,0,5.45,53.02,66.3,49.73,2.72,38.41,78.64,58.98,-0.57,24.21,77.43,58.07,-5.07,39.65,3.15,2.36
38.97,74.64,0.69,0.04,6.02,50.5,72.34,54.25,3.07,36.78,87.62,65.72,-1.06,25.8,86.48,64.86,-4.54,40.95,55.91,41.93
39.39,75.26,0.54,0.21,6.8,48.02,76.88,57.66,4.6,33.49,92.09,69.06,-2.09,28.7,92.32,69.24,-4.21,38.92,66.17,49.63
34.68,74.58,0.45,0.21,8.93,42.2,51.37,38.53,7.84,24.49,71.14,53.35,-1.18,24.78,87.02,65.27,-3.85,39.04,66.12,49.59
30.21,72.26,0.32,0.21,11.89,33.58,10.17,7.63,10.52,15.41,43.38,32.53,-1.39,27.85,92.45,69.34,-8.75,53.98,104.24,78.18
29.68,70.9,0.28,0.26,14.62,24.47,4.03,3.02,10.9,13.71,26.43,19.82,-4.85,42.68,105.28,78.96,-15.37,70.45,110,82.5
29.75,70.09,0.45,0.26,15.35,21.22,4.98,3.73,3.52,22.43,19.96,14.97,-10.15,65.58,110,82.5,-17.24,100.24,94.76,71.07
29.33,69.46,0.45,0.26,13.86,21.1,5.57,4.18,-0.73,34.61,16.68,12.51,-12.12,82.8,109.46,82.1,-26.3,109.3,79.25,59.44
29.25,69.32,0.45,0.26,10.27,25.44,5.79,4.34,-2.76,43.17,19.92,14.94,-12.49,91.53,109.08,81.81,-26.49,108.65,77.75,58.31
29.29,68.9,0.28,0.26,6.58,32.58,4.74,3.55,-4.08,57.04,58.61,43.96,-12.53,93.24,108.7,81.53,-27.52,103.92,75.89,56.92
29.03,68.64,0.09,0.26,3.95,39.57,4.08,3.06,-4.91,65.66,81.9,61.42,-12.54,94.13,107.87,80.9,-28.29,100.74,75.06,56.29
29.55,68.46,0.18,0.26,1.52,50.2,2.86,2.15,-5.91,79.06,76.7,57.52,-12.55,94.71,105.35,79.01,-29.15,97.05,74.95,56.21
30.17,68.34,0.09,0.26,0.68,56.25,2.74,2.05,-6.04,88.49,71.2,53.4,-12.57,93.67,77.16,57.87,-29.7,91.36,78.54,58.9
29.8,68.63,0.17,0.26,0.57,62.19,7.97,5.98,-6.04,89.62,59.96,44.97,-12.56,84.64,38.77,29.08,-25.7,75.5,19.7,14.77
28.86,69.14,0.09,0.26,0.33,72.59,25.58,19.18,-5.79,69.52,27.37,20.53,-11.81,61.25,16.91,12.68,-11.85,61.92,4.58,3.43
29.03,70.08,0,0.21,0.28,78.21,24.5,18.38,-4.83,56.8,9.52,7.14,-9.62,41.24,7.95,5.96,-11.39,48.23,2.22,1.67
28.72,70.39,0,0.13,0,89.29,22.09,16.57,-4.56,56.3,4.07,3.05,-8.52,36.87,4.84,3.63,-10.62,43.76,1.92,1.44
28.61,71.15,0,0.09,0,89.62,18.33,13.74,-5.15,62.84,2.91,2.18,-8.54,38.1,4.3,3.23,-10.61,41.35,1.78,1.33
