thumb_cmc_spread,thumb_cmc_stretch,thumb_mcp_stretch,thumb_ip_stretch,index_mcp_spread,index_mcp_stretch,index_pip_stretch,index_dip_stretch,middle_mcp_spread,middle_mcp_stretch,middle_pip_stretch,middle_dip_stretch,ring_mcp_spread,ring_mcp_stretch,ring_pip_stretch,ring_dip_stretch,pinky_mcp_spread,pinky_mcp_stretch,pinky_pip_stretch,pinky_dip_stretch
5.73,0.32,37.4,19.78,-4.93,-10.75,4.63,3.47,-19.14,-7.76,0.97,0.73,-14.42,58.23,89.26,66.94,-18.22,55.59,88,66
5.7,0.28,37.36,19.85,-4.94,-10.75,4.63,3.47,-19.13,-7.76,0.97,0.73,-14.41,58.4,89.26,66.94,-18.21,55.56,88,66
5.67,0.33,37.46,19.88,-4.95,-10.76,4.66,3.49,-19.15,-7.82,0.97,0.73,-14.42,58.3,89.26,66.94,-18.24,55.6,87.99,65.99
5.65,0.28,37.4,19.81,-4.97,-10.81,4.66,3.5,-19.18,-7.87,0.98,0.73,-14.43,58.35,89.19,66.89,-18.24,55.6,87.88,65.91
5.63,0.21,37.31,19.75,-4.97,-10.85,4.67,3.51,-19.21,-7.89,0.98,0.73,-14.43,58.5,89.26,66.94,-18.24,55.61,87.78,65.83
5.61,0.25,37.36,19.72,-4.94,-10.88,4.68,3.51,-19.2,-7.9,0.98,0.73,-14.43,58.44,89.26,66.94,-18.25,55.63,87.8,65.85
5.61,0.28,37.41,19.84,-4.94,-10.89,4.68,3.51,-19.21,-7.9,0.97,0.73,-14.42,58.59,89.26,66.94,-18.26,55.63,88.04,66.03
5.58,0.23,37.31,19.84,-4.96,-10.91,4.66,3.5,-19.23,-7.94,0.98,0.73,-14.43,58.67,89.25,66.94,-18.25,55.62,88.04,66.03
5.54,0.27,37.36,19.78,-4.98,-10.95,4.66,3.5,-19.23,-7.95,0.97,0.73,-14.43,58.69,89.19,66.89,-18.27,55.64,87.84,65.88
5.5,0.34,37.46,19.81,-4.99,-10.99,4.66,3.5,-19.26,-7.96,0.97,0.73,-14.44,58.68,89.13,66.85,-18.28,55.62,87.64,65.73
5.48,0.21,37.26,19.78,-4.99,-11.03,4.66,3.5,-19.29,-8.03,0.97,0.73,-14.45,58.6,89.19,66.89,-18.28,55.6,87.68,65.76
5.45,0.31,37.36,19.78,-4.95,-11.07,4.67,3.5,-19.3,-8.11,0.97,0.72,-14.45,58.61,89.16,66.87,-18.28,55.6,87.71,65.78
5.42,0.38,37.46,19.78,-4.94,-11.11,4.67,3.5,-19.32,-8.14,0.97,0.72,-14.45,58.73,89.19,66.89,-18.29,55.62,87.73,65.8
5.4,0.37,37.41,19.78,-4.95,-11.14,4.67,3.5,-19.33,-8.16,0.97,0.72,-14.46,58.74,89.19,66.89,-18.29,55.6,87.76,65.82
5.4,0.31,37.26,19.81,-4.92,-11.14,4.68,3.51,-19.31,-8.14,0.97,0.73,-14.45,58.74,89.19,66.89,-18.3,55.61,87.79,65.84
5.34,0.34,37.26,19.76,-4.96,-11.19,4.68,3.51,-19.35,-8.21,0.97,0.72,-14.47,58.68,89.19,66.89,-18.31,55.61,87.82,65.86
5.33,0.3,37.26,19.64,-4.99,-11.22,4.67,3.5,-19.39,-8.21,0.97,0.73,-14.48,58.76,89.19,66.89,-18.32,55.62,87.85,65.89
5.31,0.28,37.26,19.58,-5.07,-11.22,4.67,3.5,-19.43,-8.23,0.97,0.72,-14.5,58.87,89.16,66.87,-18.34,55.63,87.88,65.91
5.29,0.25,37.26,19.55,-5.14,-11.22,4.66,3.5,-19.46,-8.25,0.97,0.72,-14.52,58.79,89.19,66.89,-18.36,55.66,87.91,65.93
5.27,0.22,37.27,19.57,-5.18,-11.26,4.67,3.5,-19.52,-8.27,0.97,0.72,-14.54,58.81,89.19,66.89,-18.38,55.67,87.95,65.96
5.26,0.21,37.26,19.57,-5.16,-11.29,4.67,3.5,-19.51,-8.27,0.97,0.72,-14.56,58.57,89.13,66.85,-18.39,55.66,88.14,66.11
5.24,0.18,37.2,19.55,-5.14,-11.31,4.67,3.5,-19.48,-8.28,0.97,0.72,-14.54,58.58,89.13,66.85,-18.39,55.64,88.06,66.05
5.25,0.18,37.2,19.55,-5.11,-11.33,4.66,3.5,-19.45,-8.3,0.97,0.72,-14.51,58.72,89.13,66.85,-18.4,55.66,87.85,65.88
5.22,0.08,37.06,19.58,-5.12,-11.38,4.66,3.5,-19.48,-8.34,0.97,0.72,-14.52,58.82,89.19,66.89,-18.41,55.66,87.88,65.91
5.21,0.09,37.1,19.59,-5.13,-11.38,4.66,3.5,-19.5,-8.33,0.97,0.72,-14.53,58.85,89.19,66.89,-18.42,55.65,87.91,65.93
5.2,0.1,37.15,19.61,-5.14,-11.43,4.66,3.5,-19.5,-8.36,0.96,0.72,-14.52,58.97,89.16,66.87,-18.42,55.64,87.93,65.95
5.2,-0.07,36.95,19.61,-5.15,-11.43,4.66,3.5,-19.52,-8.36,0.96,0.72,-14.52,59,89.13,66.85,-18.44,55.68,87.96,65.97
5.2,-0.08,36.95,19.67,-5.13,-11.46,4.66,3.5,-19.53,-8.34,0.96,0.72,-14.53,59.03,89.13,66.85,-18.44,55.66,87.99,65.99
5.2,-0.07,37,19.72,-5.15,-11.45,4.66,3.5,-19.56,-8.33,0.96,0.72,-14.55,58.93,89.13,66.85,-18.44,55.65,87.99,66
5.19,-0.1,36.95,19.72,-5.18,-11.43,4.66,3.5,-19.57,-8.35,0.96,0.72,-14.56,58.94,89.22,66.92,-18.44,55.64,87.94,65.96
5.15,-0.07,36.95,19.69,-5.22,-11.46,4.66,3.5,-19.57,-8.38,0.96,0.72,-14.56,58.87,89.19,66.89,-18.44,55.64,87.97,65.98
